Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
January 31 2017,NULL,NULL,Passenger,9,4,13,"2,578","2,591",0.5
January 31 2017,Juneau,AK,Passenger,0,1,1,49,50,2
January 31 2017,Dale,AL,Passenger,0,1,1,71,72,1.39
January 31 2017,Russell,AL,Passenger,1,0,1,53,54,1.85
January 31 2017,Maricopa,AZ,Passenger,2,0,2,"1,774","1,776",0.11
January 31 2017,Pima,AZ,Passenger,0,1,1,439,440,0.23
January 31 2017,Pinal,AZ,Passenger,2,1,3,243,246,1.22
January 31 2017,Yavapai,AZ,Passenger,1,0,1,78,79,1.27
January 31 2017,NULL,CA,Passenger,1,0,1,482,483,0.21
January 31 2017,Alameda,CA,Passenger,6,1,7,388,395,1.77
January 31 2017,Contra Costa,CA,Passenger,1,0,1,254,255,0.39
January 31 2017,Los Angeles,CA,Passenger,2,1,3,"1,422","1,425",0.21
January 31 2017,Marin,CA,Passenger,1,0,1,53,54,1.85
January 31 2017,Monterey,CA,Passenger,0,1,1,237,238,0.42
January 31 2017,Orange,CA,Passenger,1,1,2,716,718,0.28
January 31 2017,Riverside,CA,Passenger,0,1,1,864,865,0.12
January 31 2017,San Diego,CA,Passenger,4,3,7,"2,885","2,892",0.24
January 31 2017,San Mateo,CA,Passenger,0,1,1,169,170,0.59
January 31 2017,Santa Barbara,CA,Passenger,0,1,1,137,138,0.72
January 31 2017,Santa Clara,CA,Passenger,5,3,8,452,460,1.74
January 31 2017,Tulare,CA,Passenger,1,0,1,206,207,0.48
January 31 2017,Ventura,CA,Passenger,0,2,2,389,391,0.51
January 31 2017,El Paso,CO,Passenger,1,1,2,872,874,0.23
January 31 2017,Larimer,CO,Passenger,0,1,1,89,90,1.11
January 31 2017,District Of Columbia,DC,Passenger,0,3,3,237,240,1.25
January 31 2017,Collier,FL,Passenger,0,1,1,19,20,5
January 31 2017,Duval,FL,Passenger,1,1,2,369,371,0.54
January 31 2017,Manatee,FL,Passenger,1,0,1,52,53,1.89
January 31 2017,Marion,FL,Passenger,1,0,1,24,25,4
January 31 2017,Miami-Dade,FL,Passenger,0,1,1,128,129,0.78
January 31 2017,Okaloosa,FL,Passenger,1,0,1,186,187,0.53
January 31 2017,Orange,FL,Passenger,0,1,1,147,148,0.68
January 31 2017,Polk,FL,Passenger,1,0,1,65,66,1.52
January 31 2017,Saint Lucie,FL,Passenger,1,0,1,30,31,3.23
January 31 2017,Sumter,FL,Passenger,0,1,1,9,10,10
January 31 2017,Volusia,FL,Passenger,0,1,1,49,50,2
January 31 2017,Cobb,GA,Passenger,0,1,1,74,75,1.33
January 31 2017,Dekalb,GA,Passenger,1,0,1,84,85,1.18
January 31 2017,Fulton,GA,Passenger,1,2,3,126,129,2.33
January 31 2017,Gwinnett,GA,Passenger,0,1,1,90,91,1.1
January 31 2017,Honolulu,HI,Passenger,4,1,5,642,647,0.77
January 31 2017,Maui,HI,Passenger,1,0,1,81,82,1.22
January 31 2017,Canyon,ID,Passenger,0,1,1,102,103,0.97
January 31 2017,Latah,ID,Passenger,0,1,1,130,131,0.76
January 31 2017,Madison,ID,Passenger,1,0,1,45,46,2.17
January 31 2017,Lake,IL,Passenger,1,0,1,195,196,0.51
January 31 2017,Dekalb,IN,Passenger,1,0,1,1,2,50
January 31 2017,Hamilton,IN,Passenger,1,0,1,67,68,1.47
January 31 2017,Riley,KS,Passenger,1,0,1,98,99,1.01
January 31 2017,Hardin,KY,Passenger,0,1,1,132,133,0.75
January 31 2017,Orleans,LA,Passenger,0,1,1,53,54,1.85
January 31 2017,Anne Arundel,MD,Passenger,0,2,2,518,520,0.38
January 31 2017,Charles,MD,Passenger,0,1,1,90,91,1.1
January 31 2017,Howard,MD,Passenger,0,1,1,96,97,1.03
January 31 2017,Montgomery,MD,Passenger,1,2,3,306,309,0.97
January 31 2017,Saint Marys,MD,Passenger,0,1,1,200,201,0.5
January 31 2017,Wayne,MI,Passenger,0,2,2,77,79,2.53
January 31 2017,Dakota,MN,Passenger,0,1,1,43,44,2.27
January 31 2017,Jackson,MO,Passenger,1,0,1,71,72,1.39
January 31 2017,Cascade,MT,Passenger,0,1,1,61,62,1.61
January 31 2017,Gallatin,MT,Passenger,0,1,1,76,77,1.3
January 31 2017,Glacier,MT,Passenger,0,1,1,4,5,20
January 31 2017,Cumberland,NC,Passenger,2,0,2,659,661,0.3
January 31 2017,Guilford,NC,Passenger,1,0,1,32,33,3.03
January 31 2017,Harnett,NC,Passenger,1,0,1,270,271,0.37
January 31 2017,Moore,NC,Passenger,0,1,1,221,222,0.45
January 31 2017,Santa Fe,NM,Passenger,0,1,1,39,40,2.5
January 31 2017,Clark,NV,Passenger,1,3,4,879,883,0.45
January 31 2017,Jefferson,NY,Passenger,1,1,2,269,271,0.74
January 31 2017,Lewis,NY,Passenger,0,1,1,9,10,10
January 31 2017,Monroe,NY,Passenger,1,0,1,28,29,3.45
January 31 2017,Saratoga,NY,Passenger,0,1,1,80,81,1.23
January 31 2017,Franklin,OH,Passenger,1,0,1,115,116,0.86
January 31 2017,Oklahoma,OK,Passenger,0,1,1,207,208,0.48
January 31 2017,Clackamas,OR,Passenger,1,2,3,422,425,0.71
January 31 2017,Deschutes,OR,Passenger,1,1,2,227,229,0.87
January 31 2017,Hood River,OR,Passenger,1,0,1,42,43,2.33
January 31 2017,Lane,OR,Passenger,0,1,1,281,282,0.35
January 31 2017,Marion,OR,Passenger,1,0,1,210,211,0.47
January 31 2017,Multnomah,OR,Passenger,0,3,3,"1,257","1,260",0.24
January 31 2017,Allegheny,PA,Passenger,1,0,1,90,91,1.1
January 31 2017,Northampton,PA,Passenger,2,1,3,255,258,1.16
January 31 2017,Hamilton,TN,Passenger,1,0,1,23,24,4.17
January 31 2017,Montgomery,TN,Passenger,1,0,1,298,299,0.33
January 31 2017,Shelby,TN,Passenger,0,1,1,118,119,0.84
January 31 2017,Bexar,TX,Passenger,1,4,5,"1,112","1,117",0.45
January 31 2017,El Paso,TX,Passenger,0,1,1,594,595,0.17
January 31 2017,Hidalgo,TX,Passenger,0,1,1,103,104,0.96
January 31 2017,Tarrant,TX,Passenger,0,2,2,319,321,0.62
January 31 2017,Travis,TX,Passenger,0,1,1,201,202,0.5
January 31 2017,Salt Lake,UT,Passenger,0,1,1,334,335,0.3
January 31 2017,Utah,UT,Passenger,0,1,1,188,189,0.53
January 31 2017,Alexandria City,VA,Passenger,1,0,1,183,184,0.54
January 31 2017,Arlington,VA,Passenger,1,1,2,177,179,1.12
January 31 2017,Fairfax,VA,Passenger,0,3,3,873,876,0.34
January 31 2017,Fairfax City,VA,Passenger,1,0,1,5,6,16.67
January 31 2017,Loudoun,VA,Passenger,0,1,1,84,85,1.18
January 31 2017,Manassas City,VA,Passenger,0,1,1,8,9,11.11
January 31 2017,Norfolk City,VA,Passenger,2,1,3,318,321,0.93
January 31 2017,Prince William,VA,Passenger,0,3,3,267,270,1.11
January 31 2017,Virginia Beach City,VA,Passenger,1,1,2,647,649,0.31
January 31 2017,NULL,WA,Passenger,0,0,0,2,2,0
January 31 2017,NULL,WA,Truck,0,0,0,1,1,0
January 31 2017,Adams,WA,Passenger,2,1,3,"12,457","12,460",0.02
January 31 2017,Adams,WA,Truck,0,0,0,"5,290","5,290",0
January 31 2017,Asotin,WA,Passenger,4,4,8,"12,419","12,427",0.06
January 31 2017,Asotin,WA,Truck,0,0,0,"6,648","6,648",0
January 31 2017,Benton,WA,Passenger,129,133,262,"129,540","129,802",0.2
January 31 2017,Benton,WA,Truck,0,0,0,"40,972","40,972",0
January 31 2017,Chelan,WA,Passenger,55,28,83,"52,701","52,784",0.16
January 31 2017,Chelan,WA,Truck,0,0,0,"21,809","21,809",0
January 31 2017,Clallam,WA,Passenger,74,68,142,"48,685","48,827",0.29
January 31 2017,Clallam,WA,Truck,0,0,0,"21,519","21,519",0
January 31 2017,Clark,WA,Passenger,681,450,"1,131","301,418","302,549",0.37
January 31 2017,Clark,WA,Truck,0,0,0,"79,510","79,510",0
January 31 2017,Columbia,WA,Passenger,0,1,1,"2,366","2,367",0.04
January 31 2017,Columbia,WA,Truck,0,0,0,"1,611","1,611",0
January 31 2017,Cowlitz,WA,Passenger,51,51,102,"70,113","70,215",0.15
January 31 2017,Cowlitz,WA,Truck,0,0,0,"28,708","28,708",0
January 31 2017,Douglas,WA,Passenger,28,19,47,"27,063","27,110",0.17
January 31 2017,Douglas,WA,Truck,0,0,0,"11,744","11,744",0
January 31 2017,Ferry,WA,Passenger,2,1,3,"4,529","4,532",0.07
January 31 2017,Ferry,WA,Truck,0,0,0,"3,766","3,766",0
January 31 2017,Franklin,WA,Passenger,26,43,69,"56,246","56,315",0.12
January 31 2017,Franklin,WA,Truck,0,0,0,"18,438","18,438",0
January 31 2017,Garfield,WA,Passenger,0,0,0,"1,315","1,315",0
January 31 2017,Garfield,WA,Truck,0,0,0,964,964,0
January 31 2017,Grant,WA,Passenger,16,26,42,"61,861","61,903",0.07
January 31 2017,Grant,WA,Truck,0,0,0,"26,091","26,091",0
January 31 2017,Grays Harbor,WA,Passenger,26,27,53,"44,867","44,920",0.12
January 31 2017,Grays Harbor,WA,Truck,0,0,0,"20,389","20,389",0
January 31 2017,Island,WA,Passenger,102,126,228,"60,282","60,510",0.38
January 31 2017,Island,WA,Truck,1,0,1,"21,014","21,015",0
January 31 2017,Jefferson,WA,Passenger,88,55,143,"24,007","24,150",0.59
January 31 2017,Jefferson,WA,Truck,0,0,0,"9,741","9,741",0
January 31 2017,King,WA,Passenger,"8,825","4,006","12,831","1,393,939","1,406,770",0.91
January 31 2017,King,WA,Truck,8,1,9,"195,019","195,028",0
January 31 2017,Kitsap,WA,Passenger,562,278,840,"174,639","175,479",0.48
January 31 2017,Kitsap,WA,Truck,1,0,1,"53,692","53,693",0
January 31 2017,Kittitas,WA,Passenger,16,16,32,"27,768","27,800",0.12
January 31 2017,Kittitas,WA,Truck,0,0,0,"13,875","13,875",0
January 31 2017,Klickitat,WA,Passenger,21,24,45,"15,044","15,089",0.3
January 31 2017,Klickitat,WA,Truck,0,0,0,"8,211","8,211",0
January 31 2017,Lewis,WA,Passenger,43,41,84,"55,737","55,821",0.15
January 31 2017,Lewis,WA,Truck,0,0,0,"25,683","25,683",0
January 31 2017,Lincoln,WA,Passenger,2,4,6,"7,734","7,740",0.08
January 31 2017,Lincoln,WA,Truck,0,0,0,"4,592","4,592",0
January 31 2017,Mason,WA,Passenger,50,60,110,"43,650","43,760",0.25
January 31 2017,Mason,WA,Truck,0,0,0,"19,825","19,825",0
January 31 2017,Okanogan,WA,Passenger,3,15,18,"26,477","26,495",0.07
January 31 2017,Okanogan,WA,Truck,0,0,0,"17,063","17,063",0
January 31 2017,Pacific,WA,Passenger,5,7,12,"15,257","15,269",0.08
January 31 2017,Pacific,WA,Truck,0,0,0,"7,698","7,698",0
January 31 2017,Pend Oreille,WA,Passenger,1,4,5,"9,603","9,608",0.05
January 31 2017,Pend Oreille,WA,Truck,0,0,0,"5,842","5,842",0
January 31 2017,Pierce,WA,Passenger,828,807,"1,635","533,737","535,372",0.31
January 31 2017,Pierce,WA,Truck,0,0,0,"142,278","142,278",0
January 31 2017,San Juan,WA,Passenger,84,33,117,"13,669","13,786",0.85
January 31 2017,San Juan,WA,Truck,0,0,0,"5,781","5,781",0
January 31 2017,Skagit,WA,Passenger,107,96,203,"88,628","88,831",0.23
January 31 2017,Skagit,WA,Truck,1,0,1,"32,257","32,258",0
January 31 2017,Skamania,WA,Passenger,7,7,14,"8,770","8,784",0.16
January 31 2017,Skamania,WA,Truck,0,0,0,"4,088","4,088",0
January 31 2017,Snohomish,WA,Passenger,"1,554",889,"2,443","519,711","522,154",0.47
January 31 2017,Snohomish,WA,Truck,1,0,1,"126,073","126,074",0
January 31 2017,Spokane,WA,Passenger,226,232,458,"298,757","299,215",0.15
January 31 2017,Spokane,WA,Truck,1,1,2,"92,932","92,934",0
January 31 2017,Stevens,WA,Passenger,6,23,29,"32,307","32,336",0.09
January 31 2017,Stevens,WA,Truck,0,0,0,"19,087","19,087",0
January 31 2017,Thurston,WA,Passenger,337,322,659,"187,121","187,780",0.35
January 31 2017,Thurston,WA,Truck,0,0,0,"54,732","54,732",0
January 31 2017,Wahkiakum,WA,Passenger,0,1,1,"2,910","2,911",0.03
January 31 2017,Wahkiakum,WA,Truck,0,0,0,"1,681","1,681",0
January 31 2017,Walla Walla,WA,Passenger,16,21,37,"35,448","35,485",0.1
January 31 2017,Walla Walla,WA,Truck,0,0,0,"13,596","13,596",0
January 31 2017,Whatcom,WA,Passenger,388,159,547,"143,440","143,987",0.38
January 31 2017,Whatcom,WA,Truck,2,0,2,"42,412","42,414",0
January 31 2017,Whitman,WA,Passenger,8,21,29,"22,170","22,199",0.13
January 31 2017,Whitman,WA,Truck,0,0,0,"8,581","8,581",0
January 31 2017,Yakima,WA,Passenger,35,52,87,"163,236","163,323",0.05
January 31 2017,Yakima,WA,Truck,0,0,0,"59,592","59,592",0
January 31 2017,Brown,WI,Passenger,1,0,1,24,25,4
January 31 2017,Dane,WI,Passenger,1,0,1,185,186,0.54
January 31 2017,Ozaukee,WI,Passenger,0,1,1,4,5,20
February 28 2017,NULL,NULL,Passenger,9,4,13,"2,495","2,508",0.52
February 28 2017,Juneau,AK,Passenger,0,1,1,47,48,2.08
February 28 2017,Dale,AL,Passenger,0,1,1,68,69,1.45
February 28 2017,Russell,AL,Passenger,1,0,1,52,53,1.89
February 28 2017,Maricopa,AZ,Passenger,2,0,2,"1,674","1,676",0.12
February 28 2017,Pima,AZ,Passenger,0,1,1,415,416,0.24
February 28 2017,Pinal,AZ,Passenger,2,1,3,224,227,1.32
February 28 2017,NULL,CA,Passenger,1,0,1,472,473,0.21
February 28 2017,Alameda,CA,Passenger,3,1,4,379,383,1.04
February 28 2017,Contra Costa,CA,Passenger,1,0,1,240,241,0.41
February 28 2017,Los Angeles,CA,Passenger,2,1,3,"1,344","1,347",0.22
February 28 2017,Marin,CA,Passenger,1,0,1,54,55,1.82
February 28 2017,Monterey,CA,Passenger,0,1,1,231,232,0.43
February 28 2017,Orange,CA,Passenger,1,1,2,696,698,0.29
February 28 2017,Riverside,CA,Passenger,0,1,1,821,822,0.12
February 28 2017,San Diego,CA,Passenger,4,2,6,"2,825","2,831",0.21
February 28 2017,San Mateo,CA,Passenger,0,1,1,159,160,0.62
February 28 2017,Santa Clara,CA,Passenger,5,3,8,417,425,1.88
February 28 2017,Tulare,CA,Passenger,1,0,1,202,203,0.49
February 28 2017,Ventura,CA,Passenger,0,2,2,376,378,0.53
February 28 2017,El Paso,CO,Passenger,1,1,2,837,839,0.24
February 28 2017,Larimer,CO,Passenger,0,1,1,76,77,1.3
February 28 2017,District Of Columbia,DC,Passenger,0,3,3,231,234,1.28
February 28 2017,Duval,FL,Passenger,1,1,2,364,366,0.55
February 28 2017,Manatee,FL,Passenger,1,0,1,48,49,2.04
February 28 2017,Miami-Dade,FL,Passenger,0,1,1,125,126,0.79
February 28 2017,Okaloosa,FL,Passenger,1,0,1,187,188,0.53
February 28 2017,Orange,FL,Passenger,1,1,2,143,145,1.38
February 28 2017,Polk,FL,Passenger,1,0,1,66,67,1.49
February 28 2017,Saint Lucie,FL,Passenger,1,0,1,28,29,3.45
February 28 2017,Sumter,FL,Passenger,0,1,1,9,10,10
February 28 2017,Volusia,FL,Passenger,0,1,1,47,48,2.08
February 28 2017,Cobb,GA,Passenger,0,1,1,72,73,1.37
February 28 2017,Dekalb,GA,Passenger,1,0,1,78,79,1.27
February 28 2017,Fulton,GA,Passenger,1,1,2,119,121,1.65
February 28 2017,Gwinnett,GA,Passenger,0,1,1,83,84,1.19
February 28 2017,Honolulu,HI,Passenger,4,1,5,602,607,0.82
February 28 2017,Maui,HI,Passenger,1,0,1,70,71,1.41
February 28 2017,Canyon,ID,Passenger,0,1,1,93,94,1.06
February 28 2017,Latah,ID,Passenger,0,1,1,121,122,0.82
February 28 2017,Madison,ID,Passenger,1,0,1,42,43,2.33
February 28 2017,Dekalb,IN,Passenger,1,0,1,1,2,50
February 28 2017,Hamilton,IN,Passenger,1,0,1,62,63,1.59
February 28 2017,Riley,KS,Passenger,1,0,1,97,98,1.02
February 28 2017,Hardin,KY,Passenger,0,1,1,133,134,0.75
February 28 2017,Orleans,LA,Passenger,0,1,1,52,53,1.89
February 28 2017,Anne Arundel,MD,Passenger,0,2,2,516,518,0.39
February 28 2017,Charles,MD,Passenger,0,1,1,92,93,1.08
February 28 2017,Howard,MD,Passenger,0,1,1,95,96,1.04
February 28 2017,Montgomery,MD,Passenger,1,2,3,302,305,0.98
February 28 2017,Wayne,MI,Passenger,0,2,2,70,72,2.78
February 28 2017,Dakota,MN,Passenger,0,1,1,39,40,2.5
February 28 2017,Jackson,MO,Passenger,1,0,1,67,68,1.47
February 28 2017,Cascade,MT,Passenger,0,1,1,59,60,1.67
February 28 2017,Gallatin,MT,Passenger,0,1,1,69,70,1.43
February 28 2017,Glacier,MT,Passenger,0,1,1,3,4,25
February 28 2017,Missoula,MT,Passenger,1,0,1,71,72,1.39
February 28 2017,Cumberland,NC,Passenger,2,0,2,652,654,0.31
February 28 2017,Guilford,NC,Passenger,1,0,1,30,31,3.23
February 28 2017,Harnett,NC,Passenger,1,0,1,265,266,0.38
February 28 2017,Moore,NC,Passenger,0,1,1,220,221,0.45
February 28 2017,Santa Fe,NM,Passenger,0,1,1,39,40,2.5
February 28 2017,Clark,NV,Passenger,1,2,3,828,831,0.36
February 28 2017,Jefferson,NY,Passenger,1,1,2,274,276,0.72
February 28 2017,Lewis,NY,Passenger,0,1,1,9,10,10
February 28 2017,Monroe,NY,Passenger,1,0,1,29,30,3.33
February 28 2017,Nassau,NY,Passenger,0,1,1,35,36,2.78
February 28 2017,Saratoga,NY,Passenger,0,1,1,79,80,1.25
February 28 2017,Franklin,OH,Passenger,0,1,1,110,111,0.9
February 28 2017,Oklahoma,OK,Passenger,0,1,1,184,185,0.54
February 28 2017,Clackamas,OR,Passenger,1,2,3,359,362,0.83
February 28 2017,Deschutes,OR,Passenger,1,0,1,192,193,0.52
February 28 2017,Lane,OR,Passenger,0,1,1,249,250,0.4
February 28 2017,Marion,OR,Passenger,1,0,1,177,178,0.56
February 28 2017,Multnomah,OR,Passenger,0,3,3,"1,125","1,128",0.27
February 28 2017,Allegheny,PA,Passenger,1,0,1,86,87,1.15
February 28 2017,Northampton,PA,Passenger,2,1,3,229,232,1.29
February 28 2017,Hamilton,TN,Passenger,1,0,1,23,24,4.17
February 28 2017,Montgomery,TN,Passenger,1,0,1,286,287,0.35
February 28 2017,Shelby,TN,Passenger,0,1,1,112,113,0.88
February 28 2017,Bexar,TX,Passenger,1,3,4,"1,051","1,055",0.38
February 28 2017,Hidalgo,TX,Passenger,0,1,1,99,100,1
February 28 2017,Nueces,TX,Passenger,0,1,1,95,96,1.04
February 28 2017,Tarrant,TX,Passenger,0,2,2,292,294,0.68
February 28 2017,Travis,TX,Passenger,0,1,1,186,187,0.53
February 28 2017,Salt Lake,UT,Passenger,0,1,1,306,307,0.33
February 28 2017,Utah,UT,Passenger,0,1,1,164,165,0.61
February 28 2017,Alexandria City,VA,Passenger,1,0,1,182,183,0.55
February 28 2017,Arlington,VA,Passenger,1,1,2,171,173,1.16
February 28 2017,Fairfax,VA,Passenger,0,3,3,872,875,0.34
February 28 2017,Fairfax City,VA,Passenger,1,0,1,5,6,16.67
February 28 2017,Manassas City,VA,Passenger,0,1,1,8,9,11.11
February 28 2017,Norfolk City,VA,Passenger,2,1,3,321,324,0.93
February 28 2017,Prince William,VA,Passenger,0,3,3,266,269,1.12
February 28 2017,Virginia Beach City,VA,Passenger,1,1,2,640,642,0.31
February 28 2017,NULL,WA,Passenger,0,0,0,2,2,0
February 28 2017,NULL,WA,Truck,0,0,0,1,1,0
February 28 2017,Adams,WA,Passenger,3,2,5,"12,433","12,438",0.04
February 28 2017,Adams,WA,Truck,0,0,0,"5,290","5,290",0
February 28 2017,Asotin,WA,Passenger,4,4,8,"12,477","12,485",0.06
February 28 2017,Asotin,WA,Truck,0,0,0,"6,652","6,652",0
February 28 2017,Benton,WA,Passenger,134,138,272,"129,638","129,910",0.21
February 28 2017,Benton,WA,Truck,0,0,0,"40,969","40,969",0
February 28 2017,Chelan,WA,Passenger,56,29,85,"52,686","52,771",0.16
February 28 2017,Chelan,WA,Truck,0,0,0,"21,828","21,828",0
February 28 2017,Clallam,WA,Passenger,77,68,145,"48,733","48,878",0.3
February 28 2017,Clallam,WA,Truck,0,0,0,"21,529","21,529",0
February 28 2017,Clark,WA,Passenger,704,461,"1,165","302,085","303,250",0.38
February 28 2017,Clark,WA,Truck,0,0,0,"79,647","79,647",0
February 28 2017,Columbia,WA,Passenger,0,1,1,"2,374","2,375",0.04
February 28 2017,Columbia,WA,Truck,0,0,0,"1,600","1,600",0
February 28 2017,Cowlitz,WA,Passenger,50,54,104,"70,193","70,297",0.15
February 28 2017,Cowlitz,WA,Truck,0,0,0,"28,676","28,676",0
February 28 2017,Douglas,WA,Passenger,29,19,48,"27,059","27,107",0.18
February 28 2017,Douglas,WA,Truck,0,0,0,"11,730","11,730",0
February 28 2017,Ferry,WA,Passenger,2,1,3,"4,548","4,551",0.07
February 28 2017,Ferry,WA,Truck,0,0,0,"3,759","3,759",0
February 28 2017,Franklin,WA,Passenger,26,43,69,"56,209","56,278",0.12
February 28 2017,Franklin,WA,Truck,0,0,0,"18,470","18,470",0
February 28 2017,Garfield,WA,Passenger,0,0,0,"1,322","1,322",0
February 28 2017,Garfield,WA,Truck,0,0,0,961,961,0
February 28 2017,Grant,WA,Passenger,17,26,43,"61,798","61,841",0.07
February 28 2017,Grant,WA,Truck,0,0,0,"26,089","26,089",0
February 28 2017,Grays Harbor,WA,Passenger,26,27,53,"44,901","44,954",0.12
February 28 2017,Grays Harbor,WA,Truck,0,0,0,"20,380","20,380",0
February 28 2017,Island,WA,Passenger,99,131,230,"60,414","60,644",0.38
February 28 2017,Island,WA,Truck,0,0,0,"21,022","21,022",0
February 28 2017,Jefferson,WA,Passenger,90,58,148,"24,045","24,193",0.61
February 28 2017,Jefferson,WA,Truck,0,0,0,"9,749","9,749",0
February 28 2017,King,WA,Passenger,"9,139","4,107","13,246","1,395,049","1,408,295",0.94
February 28 2017,King,WA,Truck,8,1,9,"194,676","194,685",0
February 28 2017,Kitsap,WA,Passenger,571,297,868,"174,697","175,565",0.49
February 28 2017,Kitsap,WA,Truck,1,0,1,"53,730","53,731",0
February 28 2017,Kittitas,WA,Passenger,16,15,31,"27,736","27,767",0.11
February 28 2017,Kittitas,WA,Truck,0,0,0,"13,874","13,874",0
February 28 2017,Klickitat,WA,Passenger,21,24,45,"15,033","15,078",0.3
February 28 2017,Klickitat,WA,Truck,0,0,0,"8,218","8,218",0
February 28 2017,Lewis,WA,Passenger,47,42,89,"55,874","55,963",0.16
February 28 2017,Lewis,WA,Truck,0,0,0,"25,699","25,699",0
February 28 2017,Lincoln,WA,Passenger,2,4,6,"7,726","7,732",0.08
February 28 2017,Lincoln,WA,Truck,0,0,0,"4,601","4,601",0
February 28 2017,Mason,WA,Passenger,50,63,113,"43,703","43,816",0.26
February 28 2017,Mason,WA,Truck,0,0,0,"19,868","19,868",0
February 28 2017,Okanogan,WA,Passenger,3,15,18,"26,404","26,422",0.07
February 28 2017,Okanogan,WA,Truck,0,0,0,"17,037","17,037",0
February 28 2017,Pacific,WA,Passenger,6,7,13,"15,248","15,261",0.09
February 28 2017,Pacific,WA,Truck,0,0,0,"7,688","7,688",0
February 28 2017,Pend Oreille,WA,Passenger,1,4,5,"9,583","9,588",0.05
February 28 2017,Pend Oreille,WA,Truck,0,0,0,"5,834","5,834",0
February 28 2017,Pierce,WA,Passenger,869,834,"1,703","533,573","535,276",0.32
February 28 2017,Pierce,WA,Truck,0,0,0,"142,248","142,248",0
February 28 2017,San Juan,WA,Passenger,88,33,121,"13,737","13,858",0.87
February 28 2017,San Juan,WA,Truck,0,0,0,"5,769","5,769",0
February 28 2017,Skagit,WA,Passenger,114,100,214,"88,622","88,836",0.24
February 28 2017,Skagit,WA,Truck,1,0,1,"32,304","32,305",0
February 28 2017,Skamania,WA,Passenger,7,7,14,"8,773","8,787",0.16
February 28 2017,Skamania,WA,Truck,0,0,0,"4,070","4,070",0
February 28 2017,Snohomish,WA,Passenger,"1,608",913,"2,521","519,880","522,401",0.48
February 28 2017,Snohomish,WA,Truck,1,0,1,"125,946","125,947",0
February 28 2017,Spokane,WA,Passenger,233,232,465,"298,763","299,228",0.16
February 28 2017,Spokane,WA,Truck,1,1,2,"92,994","92,996",0
February 28 2017,Stevens,WA,Passenger,6,23,29,"32,187","32,216",0.09
February 28 2017,Stevens,WA,Truck,0,0,0,"19,096","19,096",0
February 28 2017,Thurston,WA,Passenger,357,332,689,"187,416","188,105",0.37
February 28 2017,Thurston,WA,Truck,0,0,0,"54,783","54,783",0
February 28 2017,Wahkiakum,WA,Passenger,0,1,1,"2,900","2,901",0.03
February 28 2017,Wahkiakum,WA,Truck,0,0,0,"1,688","1,688",0
February 28 2017,Walla Walla,WA,Passenger,17,21,38,"35,430","35,468",0.11
February 28 2017,Walla Walla,WA,Truck,0,0,0,"13,607","13,607",0
February 28 2017,Whatcom,WA,Passenger,409,164,573,"143,724","144,297",0.4
February 28 2017,Whatcom,WA,Truck,2,0,2,"42,457","42,459",0
February 28 2017,Whitman,WA,Passenger,8,20,28,"22,234","22,262",0.13
February 28 2017,Whitman,WA,Truck,0,0,0,"8,606","8,606",0
February 28 2017,Yakima,WA,Passenger,35,53,88,"162,803","162,891",0.05
February 28 2017,Yakima,WA,Truck,0,0,0,"59,568","59,568",0
February 28 2017,Dane,WI,Passenger,1,0,1,162,163,0.61
February 28 2017,Ozaukee,WI,Passenger,0,1,1,4,5,20
March 31 2017,NULL,NULL,Passenger,9,4,13,"2,470","2,483",0.52
March 31 2017,Juneau,AK,Passenger,0,1,1,44,45,2.22
March 31 2017,Dale,AL,Passenger,0,1,1,68,69,1.45
March 31 2017,Russell,AL,Passenger,1,0,1,54,55,1.82
March 31 2017,Maricopa,AZ,Passenger,2,0,2,"1,645","1,647",0.12
March 31 2017,Pima,AZ,Passenger,0,1,1,420,421,0.24
March 31 2017,Pinal,AZ,Passenger,2,1,3,222,225,1.33
March 31 2017,NULL,CA,Passenger,1,0,1,462,463,0.22
March 31 2017,Alameda,CA,Passenger,3,1,4,376,380,1.05
March 31 2017,Los Angeles,CA,Passenger,2,1,3,"1,340","1,343",0.22
March 31 2017,Marin,CA,Passenger,1,0,1,55,56,1.79
March 31 2017,Monterey,CA,Passenger,0,1,1,225,226,0.44
March 31 2017,Orange,CA,Passenger,1,1,2,686,688,0.29
March 31 2017,Riverside,CA,Passenger,0,1,1,814,815,0.12
March 31 2017,San Diego,CA,Passenger,4,2,6,"2,827","2,833",0.21
March 31 2017,San Mateo,CA,Passenger,0,1,1,155,156,0.64
March 31 2017,Santa Clara,CA,Passenger,6,2,8,413,421,1.9
March 31 2017,Tulare,CA,Passenger,1,0,1,198,199,0.5
March 31 2017,Ventura,CA,Passenger,0,2,2,374,376,0.53
March 31 2017,El Paso,CO,Passenger,1,1,2,826,828,0.24
March 31 2017,Larimer,CO,Passenger,0,1,1,73,74,1.35
March 31 2017,District Of Columbia,DC,Passenger,0,3,3,227,230,1.3
March 31 2017,Duval,FL,Passenger,1,1,2,364,366,0.55
March 31 2017,Manatee,FL,Passenger,1,0,1,45,46,2.17
March 31 2017,Miami-Dade,FL,Passenger,0,1,1,124,125,0.8
