Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
February 28 2018,Sumter,FL,Passenger,0,1,1,9,10,10
February 28 2018,Volusia,FL,Passenger,0,1,1,32,33,3.03
February 28 2018,Camden,GA,Passenger,0,1,1,170,171,0.58
February 28 2018,Columbia,GA,Passenger,1,1,2,162,164,1.22
February 28 2018,Dekalb,GA,Passenger,1,0,1,78,79,1.27
February 28 2018,Fulton,GA,Passenger,1,1,2,93,95,2.11
February 28 2018,Gwinnett,GA,Passenger,0,1,1,79,80,1.25
February 28 2018,Liberty,GA,Passenger,1,0,1,150,151,0.66
February 28 2018,Lumpkin,GA,Passenger,1,0,1,9,10,10
February 28 2018,Honolulu,HI,Passenger,2,1,3,531,534,0.56
February 28 2018,Maui,HI,Passenger,1,0,1,65,66,1.52
February 28 2018,Ada,ID,Passenger,0,2,2,331,333,0.6
February 28 2018,Canyon,ID,Passenger,0,1,1,83,84,1.19
February 28 2018,Latah,ID,Passenger,0,1,1,74,75,1.33
February 28 2018,Madison,ID,Passenger,1,0,1,36,37,2.7
February 28 2018,Twin Falls,ID,Passenger,0,1,1,23,24,4.17
February 28 2018,Cook,IL,Passenger,1,0,1,273,274,0.36
February 28 2018,Dupage,IL,Passenger,1,0,1,60,61,1.64
February 28 2018,Saint Clair,IL,Passenger,0,1,1,167,168,0.6
February 28 2018,Sangamon,IL,Passenger,1,0,1,11,12,8.33
February 28 2018,Dekalb,IN,Passenger,1,0,1,1,2,50
February 28 2018,Hamilton,IN,Passenger,1,0,1,44,45,2.22
February 28 2018,Riley,KS,Passenger,1,0,1,88,89,1.12
February 28 2018,Hardin,KY,Passenger,0,1,1,122,123,0.81
February 28 2018,Caddo,LA,Passenger,0,1,1,20,21,4.76
February 28 2018,Orleans,LA,Passenger,0,1,1,51,52,1.92
February 28 2018,Anne Arundel,MD,Passenger,0,2,2,497,499,0.4
February 28 2018,Charles,MD,Passenger,0,1,1,83,84,1.19
February 28 2018,Frederick,MD,Passenger,0,1,1,91,92,1.09
February 28 2018,Montgomery,MD,Passenger,1,3,4,297,301,1.33
February 28 2018,Kent,MI,Passenger,0,1,1,32,33,3.03
February 28 2018,Dakota,MN,Passenger,0,1,1,35,36,2.78
February 28 2018,Ramsey,MN,Passenger,1,0,1,31,32,3.12
February 28 2018,Flathead,MT,Passenger,1,0,1,56,57,1.75
February 28 2018,Gallatin,MT,Passenger,0,1,1,60,61,1.64
